Product Name,Category,Brand,Price,Size
Running Shoes, Athletic, Nike, 99.99, 10
Casual Sneakers, Casual, Adidas, 79.99, 9
Basketball Shoes, Athletic, Jordan, 129.99, 11
Dress Shoes, Formal, Calvin Klein, 149.99, 8.5
Hiking Boots, Outdoor, Columbia, 89.99, 9.5
Sandals, Casual, Birkenstock, 59.99, 7
High Heels, Formal, Jimmy Choo, 199.99, 7.5
Work Boots, Workwear, Timberland, 119.99, 10.5
Flip Flops, Casual, Havaianas, 19.99, 8
Slip-on Shoes, Casual, Vans, 69.99, 9
Running Shoes, Athletic, Puma, 89.99, 10
Casual Sneakers, Casual, Converse, 59.99, 8
Basketball Shoes, Athletic, Adidas, 129.99, 11
Dress Shoes, Formal, Gucci, 249.99, 8.5
Hiking Boots, Outdoor, Merrell, 109.99, 9.5
Sandals, Casual, Reef, 39.99, 7
High Heels, Formal, Christian Louboutin, 299.99, 7.5
Work Boots, Workwear, Caterpillar, 109.99, 10.5
Flip Flops, Casual, O'Neill, 29.99, 8
Slip-on Shoes, Casual, Skechers, 79.99, 9
Running Shoes, Athletic, New Balance, 94.99, 10
Casual Sneakers, Casual, Vans, 64.99, 8
Basketball Shoes, Athletic, Under Armour, 119.99, 11
Dress Shoes, Formal, Prada, 199.99, 8.5
Hiking Boots, Outdoor, Keen, 99.99, 9.5
Sandals, Casual, Teva, 49.99, 7
High Heels, Formal, Manolo Blahnik, 249.99, 7.5
Work Boots, Workwear, Wolverine, 129.99, 10.5
Flip Flops, Casual, Crocs, 24.99, 8
Slip-on Shoes, Casual, TOMS, 69.99, 9
Running Shoes, Athletic, ASICS, 79.99, 10
Casual Sneakers, Casual, Reebok, 69.99, 8
Basketball Shoes, Athletic, Puma, 119.99, 11
Dress Shoes, Formal, Salvatore Ferragamo, 189.99, 8.5
Hiking Boots, Outdoor, Salomon, 109.99, 9.5
Sandals, Casual, Birkenstock, 54.99, 7
High Heels, Formal, Stuart Weitzman, 249.99, 7.5
Work Boots, Workwear, Red Wing, 139.99, 10.5
Flip Flops, Casual, Havaianas, 19.99, 8
Slip-on Shoes, Casual, Converse, 69.99, 9
Running Shoes, Athletic, Nike, 99.99, 10
Casual Sneakers, Casual, Adidas, 79.99, 8
Basketball Shoes, Athletic, Jordan, 129.99, 11
Dress Shoes, Formal, Calvin Klein, 149.99, 8.5
Hiking Boots, Outdoor, Columbia, 89.99, 9.5
Sandals, Casual, Birkenstock, 59.99, 7
High Heels, Formal, Jimmy Choo, 199.99, 7.5
Work Boots, Workwear, Timberland, 119.99, 10.5
Flip Flops, Casual, Havaianas, 19.99, 8
Slip-on Shoes, Casual, Vans, 69.99, 9
Running Shoes, Athletic, Puma, 89.99, 10
Casual Sneakers, Casual, Converse, 59.99, 8
Basketball Shoes, Athletic, Adidas, 129.99, 11
Dress Shoes, Formal, Gucci, 249.99, 8.5
Hiking Boots, Outdoor, Merrell, 109.99, 9.5
Sandals, Casual, Reef, 39.99, 7
High Heels, Formal, Christian Louboutin, 299.99, 7.5
Work Boots, Workwear, Caterpillar, 109.99, 10.5
Flip Flops, Casual, O'Neill, 29.99, 8
Slip-on Shoes, Casual, Skechers, 79.99, 9
Running Shoes, Athletic, New Balance, 94.99, 10
Casual Sneakers, Casual, Vans, 64.99, 8
Basketball Shoes, Athletic, Under Armour, 119.99, 11
Dress Shoes, Formal, Prada, 199.99, 8.5
Hiking Boots, Outdoor, Keen, 99.99, 9.5
Sandals, Casual, Teva, 49.99, 7
High Heels, Formal, Manolo Blahnik, 249.99, 7.5
Work Boots, Workwear, Wolverine, 129.99, 10.5
Flip Flops, Casual, Crocs, 24.99, 8
Slip-on Shoes, Casual, TOMS, 69.99, 9
